trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_seconds,equity_after
1,2026-08-11 04:26:41.053000+00:00,2026-08-11 07:26:44.375000+00:00,BTCUSD.x,SELL,63981.54,64114.4,0.01,64481.54,62981.54,65.37000000000262,65.16999999999825,-1.3286000000000058,-0.013287765412512765,TIME_BARRIER,10803.322,9998.6714
2,2026-08-11 07:27:46.749000+00:00,2026-08-11 10:27:52.257000+00:00,BTCUSD.x,SELL,64045.43,63937.5,0.01,64545.43,63045.43,65.15000000000146,65.09999999999854,1.079300000000003,0.010793269076198101,TIME_BARRIER,10805.508,9999.750699999999
3,2026-08-11 10:33:40.966000+00:00,2026-08-11 13:33:41.401000+00:00,BTCUSD.x,SELL,63921.380000000005,64262.7,0.01,64421.380000000005,62921.380000000005,65.16999999999825,65.18000000000029,-3.4131999999999243,-0.03414450542511119,TIME_BARRIER,10800.435,9996.3375
4,2026-08-11 13:41:38.650000+00:00,2026-08-11 16:41:38.850000+00:00,BTCUSD.x,SELL,64221.380000000005,64185.8,0.01,64721.380000000005,63221.380000000005,65.16999999999825,65.10000000000582,0.3558000000000175,0.003559176913030007,TIME_BARRIER,10800.2,9996.693299999999
5,2026-08-11 16:52:01.486000+00:00,2026-08-11 19:52:02.219000+00:00,BTCUSD.x,SELL,64042.08,63557.48,0.01,64542.08,63042.08,65.84000000000378,65.56000000000495,4.845999999999986,0.048452541700255945,TIME_BARRIER,10800.733,10001.539299999999
6,2026-08-11 19:56:19.393000+00:00,2026-08-11 22:56:20.918000+00:00,BTCUSD.x,SELL,63460.62,63493.69,0.01,63960.62,62460.62,65.23999999999796,65.19000000000233,-0.3306999999999971,-0.0033066003642799446,TIME_BARRIER,10801.525,10001.208599999998
7,2026-08-11 22:56:26.923000+00:00,2026-08-12 01:56:27.840000+00:00,BTCUSD.x,SELL,63428.44,63671.62,0.01,63928.44,62428.44,65.56999999999971,65.31999999999971,-2.431800000000003,-0.0243209749416549,TIME_BARRIER,10800.917,9998.776799999998
8,2026-08-12 02:01:45.404000+00:00,2026-08-12 05:01:45.879000+00:00,BTCUSD.x,SELL,63577.71000000001,63851.8,0.01,64077.71000000001,62577.71000000001,65.16999999999825,67.12000000000262,-2.7408999999999653,-0.027419869510472303,TIME_BARRIER,10800.475,9996.035899999997
9,2026-08-12 05:04:07.016000+00:00,2026-08-12 08:04:07.016000+00:00,BTCUSD.x,SELL,63756.4,63746.48,0.01,64256.4,62756.4,65.4800000000032,65.4600000000064,0.09919999999998254,0.0009923835463166416,TIME_BARRIER,10800.0,9996.135099999998
10,2026-08-12 08:04:42.187000+00:00,2026-08-12 11:04:42.756000+00:00,BTCUSD.x,BUY,63746.49,63777.3,0.01,63246.49,64746.49,65.41000000000349,65.27999999999884,0.3081000000000495,0.003082096239991136,TIME_BARRIER,10800.569,9996.443199999998
11,2026-08-12 11:06:08.420000+00:00,2026-08-12 14:06:09.353000+00:00,BTCUSD.x,SELL,63767.490000000005,64123.9,0.01,64267.490000000005,62767.490000000005,65.27999999999884,65.52000000000407,-3.564099999999962,-0.03566639768512723,TIME_BARRIER,10800.933,9992.879099999998
12,2026-08-12 14:06:37.889000+00:00,2026-08-12 17:02:37.640000+00:00,BTCUSD.x,BUY,64116.13,63616.11,0.01,63616.13,65116.13,65.18000000000029,65.40999999999622,-5.0001999999999684,-0.050062681476844596,STOP_LOSS,10559.751,9987.878899999998
13,2026-08-12 17:03:01.133000+00:00,2026-08-12 20:03:01.294000+00:00,BTCUSD.x,SELL,63599.51,63509.5,0.01,64099.51,62599.51,66.37000000000262,65.87000000000262,0.9001000000000204,0.009011111368066312,TIME_BARRIER,10800.161,9988.778999999999
