trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_minutes,equity_after
1,2026-06-14 13:59:00+00:00,2026-06-14 17:32:00+00:00,BTCUSD.x,BUY,64523.61,64023.590000000004,0.01,64023.61,65523.61,65.19,65.17,-5.0001999999999684,-0.05002701450779387,STOP_LOSS,213.0,9994.9998
2,2026-06-14 17:39:00+00:00,2026-06-15 00:15:00+00:00,BTCUSD.x,SELL,63874.340000000004,64374.36,0.01,64374.340000000004,62874.340000000004,65.17,65.18,-5.0001999999999684,-0.05005205405613799,STOP_LOSS,396.0,9989.9996
3,2026-06-15 01:02:00+00:00,2026-06-15 01:35:00+00:00,BTCUSD.x,SELL,65417.740000000005,65352.590000000004,0.01,65352.57000000001,64417.740000000005,65.17,65.2,0.6515000000000145,0.006521096507914429,STOP_LOSS,33.0,9990.6511
4,2026-06-15 02:02:00+00:00,2026-06-15 12:38:00+00:00,BTCUSD.x,BUY,65395.02,65460.1,0.01,65460.119999999995,66395.01999999999,65.1,65.17,0.6508000000000175,0.006513665651520524,STOP_LOSS,636.0,9991.301899999999
5,2026-06-15 12:43:00+00:00,2026-06-15 14:18:00+00:00,BTCUSD.x,SELL,65525.8,66025.82,0.01,66025.8,64525.8,65.16,65.1,-5.000200000000041,-0.05007058819382597,STOP_LOSS,95.0,9986.301699999998
6,2026-06-15 14:18:00+00:00,2026-06-15 15:42:00+00:00,BTCUSD.x,SELL,65948.08,66448.1,0.01,66448.08,64948.08,65.1,65.1,-5.000200000000041,-0.05009567139115117,STOP_LOSS,84.0,9981.301499999998
7,2026-06-15 16:03:00+00:00,2026-06-15 16:25:00+00:00,BTCUSD.x,SELL,66419.17,66919.19,0.01,66919.17,65419.17,65.1,65.1,-5.000200000000041,-0.050120779732264524,STOP_LOSS,22.0,9976.301299999997
8,2026-06-15 16:25:00+00:00,2026-06-15 18:37:00+00:00,BTCUSD.x,SELL,66835.65,66770.56999999999,0.01,66770.54999999999,65832.46184999999,65.1,65.16,0.6508000000000175,0.0065230342240494244,STOP_LOSS,132.0,9976.952099999997
9,2026-06-15 18:56:00+00:00,2026-06-15 20:10:00+00:00,BTCUSD.x,BUY,67191.52,66688.13435,0.01,66688.15435,68198.2513,65.17,65.17,-5.033856500000111,-0.05048032261276644,STOP_LOSS,74.0,9971.918243499997
10,2026-06-15 20:10:00+00:00,2026-06-16 05:28:00+00:00,BTCUSD.x,SELL,66757.11,65756.1117,0.01,66361.75898,65756.1117,65.17,65.1,10.009983000000066,0.10028105565240981,TAKE_PROFIT,558.0,9981.928226499997
