trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_minutes,equity_after
11,2025-09-19 17:58:00+00:00,2025-09-20 17:59:00+00:00,BTCUSD.x,SELL,115784.8,115932.08,0.01,116826.68860000001,113701.0228,77.75,77.28,-1.4727999999999883,-0.014777234430292389,TIME_BARRIER,1441.0,9966.6822432
12,2025-09-20 17:59:00+00:00,2025-09-21 17:59:00+00:00,BTCUSD.x,BUY,115934.8,115405.95,0.01,114892.10680000001,118020.1864,77.28,77.19,-5.288500000000059,-0.05308996046472088,TIME_BARRIER,1440.0,9961.3937432
13,2025-09-21 18:01:00+00:00,2025-09-22 03:50:00+00:00,BTCUSD.x,BUY,115482.86,114444.14073,0.01,114444.16073,117560.25854,77.14,76.39,-10.387192700000014,-0.10438333697487213,STOP_LOSS,589.0,9951.0065505
14,2025-09-22 03:50:00+00:00,2025-09-22 09:02:00+00:00,BTCUSD.x,SELL,114514.48,112457.05245999999,0.01,114073.366524,112457.05245999999,76.39,76.9,20.574275400000044,0.20632912433062567,TAKE_PROFIT,312.0,9971.5808259
15,2025-09-22 09:03:00+00:00,2025-09-22 09:12:00+00:00,BTCUSD.x,SELL,111931.47,112942.3754,0.01,112942.3554,109909.6992,76.4,76.60000000000001,-10.109054000000032,-0.10148153035494556,STOP_LOSS,9.0,9961.4717719
16,2025-09-22 09:21:00+00:00,2025-09-22 23:55:00+00:00,BTCUSD.x,SELL,112957.28,112880.46,0.01,112880.44,110929.3676,76.84,76.60000000000001,0.7681999999999244,0.007711117200215497,STOP_LOSS,874.0,9962.2399719
17,2025-09-22 23:59:00+00:00,2025-09-23 08:12:00+00:00,BTCUSD.x,SELL,112755.44,112595.843812,0.01,112595.823812,110727.06698,78.11,76.8,1.5959618799999589,0.01601754475491946,STOP_LOSS,493.0,9963.835933780001
18,2025-09-23 08:15:00+00:00,2025-09-23 21:47:00+00:00,BTCUSD.x,BUY,112622.61,111609.70705,0.01,111609.72705,114648.3759,78.01,77.28,-10.129029500000033,-0.101761379930171,STOP_LOSS,812.0,9953.706904280001
19,2025-09-23 22:02:00+00:00,2025-09-24 20:13:00+00:00,BTCUSD.x,BUY,111802.17,113813.31792,0.01,112604.891248,113813.31792,76.5,76.8,20.11147920000003,0.2016427252506563,TAKE_PROFIT,1331.0,9973.818383480002
20,2025-09-24 20:15:00+00:00,2025-09-25 07:20:00+00:00,BTCUSD.x,SELL,113760.78,111714.171,0.01,112973.1454,111714.171,76.60000000000001,76.3,20.46608999999997,0.2047779413754639,TAKE_PROFIT,665.0,9994.284473480002
21,2025-09-25 07:26:00+00:00,2025-09-25 17:17:00+00:00,BTCUSD.x,SELL,111747.34,111670.86,0.01,111670.84,109736.3035,76.5,76.59,0.7647999999999593,0.007651788191071888,STOP_LOSS,591.0,9995.049273480003
22,2025-09-25 17:17:00+00:00,2025-09-25 20:09:00+00:00,BTCUSD.x,BUY,111566.81,110562.50961,0.01,110562.52961,113575.37078,76.59,76.7,-10.04300390000004,-0.10058084721084982,STOP_LOSS,172.0,9985.006269580002
