trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_minutes,equity_after
1,2025-09-14 14:10:00+00:00,2025-09-15 00:15:00+00:00,BTCUSD.x,SELL,115951.67,115873.79000000001,0.01,115873.77,114212.29699999999,77.9,77.03,0.778799999999901,0.007787393517791844,STOP_LOSS,605.0,10000.7788
2,2025-09-15 02:05:00+00:00,2025-09-15 07:20:00+00:00,BTCUSD.x,SELL,115842.44,115765.86,0.01,115765.84,114107.74565,76.60000000000001,76.3,0.7658000000000175,0.007656817327995693,STOP_LOSS,315.0,10001.5446
3,2025-09-15 07:25:00+00:00,2025-09-15 11:45:00+00:00,BTCUSD.x,BUY,115921.87,115052.788475,0.01,115052.808475,118094.52381249999,76.4,76.2,-8.690815250000014,-0.08697030335081042,STOP_LOSS,260.0,9992.85378475
4,2025-09-15 15:05:00+00:00,2025-09-16 08:10:00+00:00,BTCUSD.x,SELL,114908.34999999999,115769.76997499999,0.01,115769.74997499998,112324.150075,76.9,76.3,-8.61419974999997,-0.08627797516940267,STOP_LOSS,1025.0,9984.239585
5,2025-09-16 08:25:00+00:00,2025-09-16 16:50:00+00:00,BTCUSD.x,BUY,115598.22,114730.88859999999,0.01,114730.9086,117766.4985,76.3,76.3,-8.6733140000001,-0.08694558047510866,STOP_LOSS,505.0,9975.566271
6,2025-09-17 08:20:00+00:00,2025-09-17 17:20:00+00:00,BTCUSD.x,BUY,116582.37000000001,115708.9462,0.01,115708.96620000001,118765.87950000001,76.3,76.3,-8.734238000000042,-0.08763304098113764,STOP_LOSS,540.0,9966.832032999999
7,2025-09-17 17:20:00+00:00,2025-09-17 21:20:00+00:00,BTCUSD.x,SELL,115829.69,115753.41,0.01,115753.39,113225.977175,76.3,76.3,0.7627999999999884,0.0076527990230357765,STOP_LOSS,240.0,9967.594833
8,2025-09-17 21:25:00+00:00,2025-09-17 22:05:00+00:00,BTCUSD.x,SELL,115654.69,115578.31000000001,0.01,115578.29000000001,113481.991375,76.4,76.3,0.7637999999999011,0.007662244388673582,STOP_LOSS,40.0,9968.358633
9,2025-09-18 01:15:00+00:00,2025-09-19 01:15:00+00:00,BTCUSD.x,BUY,116240.84000000001,117178.9,0.01,116788.98469,117982.19885000002,76.3,78.10000000000001,9.38059999999983,0.09401528523590581,TIME_BARRIER,1440.0,9977.739233
10,2025-09-19 03:20:00+00:00,2025-09-19 14:40:00+00:00,BTCUSD.x,BUY,117137.90000000001,116259.43905,0.01,116259.45905,118894.7819,76.56,76.46000000000001,-8.784609500000078,-0.08811966582024515,STOP_LOSS,680.0,9968.9546235
11,2025-09-19 15:25:00+00:00,2025-09-20 15:25:00+00:00,BTCUSD.x,SELL,116283.37,115795.18000000001,0.01,116052.00701,113670.402475,76.3,76.38,4.881899999999878,0.04894706253202886,TIME_BARRIER,1440.0,9973.8365235
12,2025-09-21 02:15:00+00:00,2025-09-22 02:15:00+00:00,BTCUSD.x,SELL,115625.59,115188.81,0.01,116492.8225,113891.125,76.3,76.3,4.367799999999988,0.04377340710204979,TIME_BARRIER,1440.0,9978.2043235
13,2025-09-22 02:35:00+00:00,2025-09-22 09:00:00+00:00,BTCUSD.x,SELL,115153.08,113425.36935000001,0.01,114587.12639,113425.36935000001,76.3,76.2,17.277106499999938,0.17284916810655251,TAKE_PROFIT,385.0,9995.48143
14,2025-09-22 09:10:00+00:00,2025-09-23 06:25:00+00:00,BTCUSD.x,SELL,112647.83,112394.85223,0.01,112394.83223,110531.0961875,76.3,76.38,2.529777699999977,0.02530280920321094,STOP_LOSS,1275.0,9998.0112077
15,2025-09-23 15:05:00+00:00,2025-09-24 04:25:00+00:00,BTCUSD.x,SELL,112915.44,112388.19721,0.01,112388.17721,110377.22197500001,76.7,76.60000000000001,5.2724279000000385,0.05270697195105372,STOP_LOSS,800.0,10003.283635599999
16,2025-09-24 13:30:00+00:00,2025-09-25 04:00:00+00:00,BTCUSD.x,BUY,112648.08,112843.98652,0.01,112844.00652000001,115182.33870000001,76.5,76.4,1.959065200000041,0.01958038658915688,STOP_LOSS,870.0,10005.2427008
17,2025-09-25 04:10:00+00:00,2025-09-25 14:55:00+00:00,BTCUSD.x,SELL,112980.18,111282.54135,0.01,112273.74319000001,111282.54135,76.3,76.38,16.976386499999936,0.16938750143181514,TAKE_PROFIT,645.0,10022.2190873
18,2025-09-25 20:05:00+00:00,2025-09-25 20:55:00+00:00,BTCUSD.x,SELL,110752.01999999999,108678.56662499999,0.01,110008.06762,108678.56662499999,76.7,76.3,20.734533749999972,0.20645852338240867,TAKE_PROFIT,50.0,10042.95362105
19,2025-09-26 02:05:00+00:00,2025-09-26 03:55:00+00:00,BTCUSD.x,SELL,109565.98,109489.4,0.01,109489.37999999999,107922.0748,76.60000000000001,77.06,0.7658000000000175,0.007624665404282656,STOP_LOSS,110.0,10043.719421049998
20,2025-09-26 07:00:00+00:00,2025-09-26 15:30:00+00:00,BTCUSD.x,SELL,109491.34,109414.36,0.01,109414.34,107438.9269375,77.0,76.3,0.7697999999999593,0.007663903888579099,STOP_LOSS,510.0,10044.489221049998
21,2025-09-26 17:05:00+00:00,2025-09-26 21:15:00+00:00,BTCUSD.x,SELL,109337.4,110157.78657499999,0.01,110157.76657499999,106876.30027499999,75.01,75.01,-8.203865749999968,-0.08174205355438245,STOP_LOSS,250.0,10036.285355299999
22,2025-09-26 22:20:00+00:00,2025-09-27 22:20:00+00:00,BTCUSD.x,SELL,109527.22,109425.24,0.01,110347.5631,107886.5338,75.0,77.46000000000001,1.0197999999999592,0.010160097598123478,TIME_BARRIER,1440.0,10037.305155299999
